Timestamp,Asset_ID,Asset_Model,Asset_Type,Location,AI_Risk_Assessment,Severity,Root_Cause,Confidence,Anomaly_Score,L1_Numeric_Val,L2_Error_Frames,L3_Latency_ms,L7_App_Response_ms,Env_Temp_C,MAC_Table_Count,Link_Flaps,RSSI,SNR,RF_Noise_dBm
2025-12-07 23:27:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.04946077629839973,0,164,107.3,304.6,24.8,0,0,-62,20,-82
2025-12-07 23:56:26,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,HIGH,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.00956159609250562,48,9,44.3,135.1,61.2,0,0,-50,40,-90
2025-12-08 00:18:56,CORE-SW-02,Hirschmann RS40,Switch,Server_Room,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Stress on Switch Port (Hirschmann),MEDIUM (65%),-0.006038698244957064,87,22,31.7,157.5,69.4,0,6,0,0,-94
2025-12-08 00:44:26,CORE-SW-02,Hirschmann RS40,Switch,Server_Room,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Port Flapping (Hirschmann),HIGH (85%),-0.0005020732807221595,48,18,17.1,123.3,76.3,0,8,0,0,-84
2025-12-08 00:47:26,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.017286001559629005,70,25,29.5,147.3,84.3,475,0,0,0,-71
2025-12-08 01:21:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Denial of Service (DDoS),MEDIUM (70%),-0.056747462954369166,2,147,136.0,295.2,33.8,0,0,-72,13,-85
2025-12-08 01:24:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.022851440137209633,72,28,35.9,80.0,69.1,0,0,-47,34,-81
2025-12-08 01:29:26,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.0852144985768124,1,182,134.7,349.2,44.5,0,0,-69,14,-83
2025-12-08 01:33:56,GATEWAY-01,Belden OpEdge-8D,Gateway,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.007761374425490297,98,26,22.2,126.7,72.5,0,0,0,0,-73
2025-12-08 02:00:56,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,MEDIUM,UNKNOWN: Complex Multi-Layer Issue - Requires Manual Inspection,MEDIUM (65%),-0.014378565830302947,4,78,46.1,156.7,38.1,485,0,0,0,-54
2025-12-08 02:06:56,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),MEDIUM (70%),-0.03121183426088614,2,63,70.1,180.6,23.4,476,0,0,0,-52
2025-12-08 02:12:56,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,APP: Application Performance Degradation,MEDIUM (65%),-0.011798022852582024,88,18,39.4,102.6,69.1,500,0,0,0,-89
2025-12-08 02:17:26,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.0041272989986325115,90,16,32.8,116.8,75.5,385,0,0,0,-79
2025-12-08 02:47:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.06723400819331848,0,226,111.7,265.2,43.0,0,0,-62,26,-88
2025-12-08 02:48:56,EDGE-SW-01,Hirschmann BOBCAT,Switch,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Stress on Switch Port (Hirschmann),MEDIUM (65%),-0.030234259618126536,86,6,30.9,84.9,69.4,0,8,0,0,-92
2025-12-08 03:20:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,HIGH,PHYSICAL: RF Interference Detected (WLAN),MEDIUM (75%),-0.01628147504619004,2,81,77.3,121.4,43.3,0,0,-68,14,-54
2025-12-08 03:39:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,HIGH,PHYSICAL: RF Interference Detected (WLAN),MEDIUM (75%),-0.016106533001948864,4,103,68.2,122.4,29.7,0,0,-64,14,-50
2025-12-08 03:53:26,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),MEDIUM (70%),-0.0024337019143727545,0,64,70.8,204.5,31.1,363,0,0,0,-54
2025-12-08 03:56:26,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.005251899301119689,69,14,29.0,77.5,69.7,493,0,0,0,-84
2025-12-08 04:26:26,GATEWAY-01,Belden OpEdge-8D,Gateway,Factory_Floor_A,CRITICAL_RISK,CRITICAL,NETWORK: Gateway Connectivity Issue - Check Upstream,MEDIUM (65%),-0.04188231837244494,3,144,99.3,363.7,33.3,0,0,0,0,-95
2025-12-08 04:27:56,EDGE-SW-01,Hirschmann BOBCAT,Switch,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Port Flapping (Hirschmann),HIGH (95%),-0.01181724267438855,90,5,44.0,150.3,79.5,0,6,0,0,-87
2025-12-08 04:39:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.06796838553781515,4,143,116.9,274.9,43.9,0,0,-45,41,-86
2025-12-08 04:44:26,EDGE-SW-02,Hirschmann BOBCAT,Switch,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Stress on Switch Port (Hirschmann),MEDIUM (65%),-0.005655450093669079,83,5,27.2,157.1,67.0,0,7,0,0,-90
2025-12-08 05:14:26,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: DPI Overload Causing Network Slowdown (EAGLE),MEDIUM (65%),-0.11422196317904765,4,169,113.7,258.7,38.9,1195,0,0,0,-82
2025-12-08 05:38:26,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,CRITICAL_RISK,CRITICAL,NETWORK: Gateway Connectivity Issue - Check Upstream,MEDIUM (65%),-0.04268131863450808,3,202,123.2,335.4,32.5,0,0,0,0,-87
2025-12-08 05:42:56,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: DPI Overload Causing Network Slowdown (EAGLE),MEDIUM (65%),-0.11779511504322404,3,101,98.5,271.7,25.8,1145,0,0,0,-81
2025-12-08 05:45:56,GATEWAY-01,Belden OpEdge-8D,Gateway,Factory_Floor_A,CRITICAL_RISK,CRITICAL,NETWORK: Gateway Connectivity Issue - Check Upstream,MEDIUM (65%),-0.05592893645987562,4,236,134.8,271.2,36.9,0,0,0,0,-92
2025-12-08 06:09:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.01388501096767214,98,23,33.5,112.5,72.2,0,0,-56,24,-80
2025-12-08 07:02:26,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.049564243686360254,1,142,86.1,311.3,32.4,0,0,-57,21,-78
2025-12-08 07:35:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Severe RF Interference / Potential Jamming (WLAN),HIGH (90%),-0.002350431525882102,0,111,53.8,107.2,24.2,0,0,-54,10,-47
2025-12-08 08:26:26,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,CRITICAL_RISK,CRITICAL,NETWORK: Gateway Connectivity Issue - Check Upstream,MEDIUM (65%),-0.04452700472385385,3,144,130.0,370.8,29.5,0,0,0,0,-90
2025-12-08 08:51:56,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,HIGH,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.007925526317405063,25,13,49.9,93.9,62.1,422,0,0,0,-89
2025-12-08 09:36:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,LOW,UNKNOWN: Complex Multi-Layer Issue - Requires Manual Inspection,MEDIUM (65%),-0.0027531032391757693,0,3,11.4,75.7,20.9,0,0,-47,48,-95
2025-12-08 10:27:56,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,CRITICAL_RISK,CRITICAL,APP: Protocol Conversion Delay - Gateway Overload,MEDIUM (65%),-0.02228828985723008,67,22,36.4,197.8,80.0,0,0,0,0,-85
2025-12-08 11:57:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.03376228884629118,91,23,36.0,84.2,82.1,0,0,-50,31,-81
2025-12-08 12:33:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.06453702064167177,2,249,103.7,274.9,24.4,0,0,-59,16,-75
2025-12-08 13:33:56,GATEWAY-01,Belden OpEdge-8D,Gateway,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.020774938851376268,102,24,39.7,122.5,82.8,0,0,0,0,-94
2025-12-08 16:12:56,CORE-SW-01,Hirschmann BOBCAT 24TX,Switch,Server_Room,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Port Flapping (Hirschmann),HIGH (95%),-0.02408086334978654,101,23,26.1,80.5,77.1,0,8,0,0,-81
2025-12-08 16:30:56,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),MEDIUM (70%),-0.011903431042911916,1,53,70.8,184.6,37.4,238,0,0,0,-45
2025-12-08 17:18:56,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),MEDIUM (70%),-0.007145165065544412,3,61,86.1,164.3,35.1,287,0,0,0,-47
2025-12-08 17:30:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.03844696229915123,85,19,35.5,129.8,79.0,0,0,-50,39,-89
2025-12-08 17:50:26,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.007860658136565113,99,25,22.1,160.5,70.7,278,0,0,0,-90
2025-12-08 18:35:26,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),HIGH (85%),-0.09095711653705507,4,152,127.0,299.0,43.5,705,0,0,0,-79
2025-12-08 20:53:26,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,CRITICAL_RISK,CRITICAL,APP: Protocol Conversion Delay - Gateway Overload,MEDIUM (65%),-0.016272014871121177,57,14,32.7,163.8,85.0,0,0,0,0,-79
2025-12-08 20:54:56,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.0028760640585229202,70,12,41.8,159.8,75.6,232,0,0,0,-87
2025-12-08 21:29:26,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),HIGH (85%),-0.03130190223061813,2,175,88.3,201.4,27.6,575,0,0,0,-84
2025-12-08 21:47:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.01907456456525003,0,120,126.6,235.6,40.8,0,0,-61,14,-75
2025-12-08 22:27:56,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.031381528864758534,93,26,38.5,154.1,67.5,467,0,0,0,-72
2025-12-08 23:27:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.019175736172179825,91,12,38.1,138.8,74.2,0,0,-62,27,-89
2025-12-09 00:03:56,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.013386445342651432,66,25,33.8,87.6,65.9,365,0,0,0,-78
2025-12-09 00:30:56,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.031072470814514364,93,5,36.8,108.9,68.9,456,0,0,0,-72
2025-12-09 01:38:26,CORE-SW-02,Hirschmann RS40,Switch,Server_Room,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Port Flapping (Hirschmann),HIGH (95%),-0.018875683156903467,91,11,26.0,75.0,82.3,0,8,0,0,-81
2025-12-09 02:14:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Denial of Service (DDoS),HIGH (85%),-0.09144426289813756,4,201,103.9,351.7,20.3,0,0,-71,10,-72
2025-12-09 03:23:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,HIGH,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.019736167696117857,2,136,89.6,198.0,27.7,0,0,-53,25,-78
2025-12-09 03:33:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.003914057993530284,79,6,43.8,99.7,80.7,0,0,-62,15,-77
2025-12-09 03:47:26,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,CRITICAL_RISK,CRITICAL,NETWORK: Gateway Connectivity Issue - Check Upstream,MEDIUM (65%),-0.017987467038510396,3,170,126.4,271.9,30.4,0,0,0,0,-91
2025-12-09 04:03:56,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,CRITICAL_RISK,CRITICAL,APP: Protocol Conversion Delay - Gateway Overload,MEDIUM (65%),-0.01040237502463548,96,5,19.5,138.8,74.5,0,0,0,0,-90
2025-12-09 04:45:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.010684985661941648,80,20,39.2,136.4,77.5,0,0,-57,22,-79
2025-12-09 06:15:56,GATEWAY-01,Belden OpEdge-8D,Gateway,Factory_Floor_A,CRITICAL_RISK,CRITICAL,APP: Protocol Conversion Delay - Gateway Overload,MEDIUM (65%),-0.0002645495668202047,59,24,44.0,181.5,81.7,0,0,0,0,-77
2025-12-09 06:54:56,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.005006857166520162,84,11,24.7,185.4,75.1,0,0,0,0,-73
2025-12-09 06:59:26,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.01411282440427808,101,28,22.5,145.9,72.7,231,0,0,0,-76
2025-12-09 08:03:56,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),MEDIUM (70%),-0.04094784541940366,3,70,76.7,156.2,20.6,461,0,0,0,-49
2025-12-09 08:23:26,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.017300937904871194,96,17,32.8,133.8,76.8,277,0,0,0,-95
2025-12-09 08:42:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.08645901783160803,1,129,110.6,237.4,38.3,0,0,-45,48,-93
2025-12-09 08:47:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.012335475803066043,64,17,18.4,147.3,72.8,0,0,-68,24,-92
2025-12-09 09:03:56,EDGE-SW-01,Hirschmann BOBCAT,Switch,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Port Flapping (Hirschmann),HIGH (95%),-0.010864835575040699,73,15,40.9,78.2,81.3,0,8,0,0,-87
2025-12-09 09:05:26,GATEWAY-01,Belden OpEdge-8D,Gateway,Factory_Floor_A,CRITICAL_RISK,CRITICAL,APP: Protocol Conversion Delay - Gateway Overload,MEDIUM (65%),-0.0014919508471117338,75,5,33.1,116.8,80.2,0,0,0,0,-78
2025-12-09 09:50:26,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,CRITICAL_RISK,CRITICAL,NETWORK: Gateway Connectivity Issue - Check Upstream,MEDIUM (65%),-0.03863648306961953,4,249,95.3,326.3,41.6,0,0,0,0,-75
2025-12-09 09:57:56,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: DPI Overload Causing Network Slowdown (EAGLE),MEDIUM (65%),-0.09276111762514905,3,112,83.3,217.5,32.5,1067,0,0,0,-94
2025-12-09 10:08:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.07536510761701476,0,242,82.3,340.2,37.2,0,0,-63,14,-77
2025-12-09 11:15:56,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),MEDIUM (70%),-0.0015566477866765238,2,71,70.9,115.7,32.4,430,0,0,0,-60
2025-12-09 11:42:56,EDGE-SW-02,Hirschmann BOBCAT,Switch,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Port Flapping (Hirschmann),HIGH (95%),-0.026887146738141188,109,15,44.2,136.5,79.9,0,7,0,0,-90
2025-12-09 11:59:26,CORE-SW-02,Hirschmann RS40,Switch,Server_Room,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Stress on Switch Port (Hirschmann),MEDIUM (65%),-0.023815824392494633,82,19,37.7,168.0,73.9,0,8,0,0,-76
2025-12-09 12:00:56,EDGE-SW-01,Hirschmann BOBCAT,Switch,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Port Flapping (Hirschmann),HIGH (95%),-0.00037908646927831136,76,9,30.4,160.3,77.0,0,7,0,0,-80
2025-12-09 12:17:26,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.0002711136580392237,73,11,19.8,154.0,77.4,238,0,0,0,-88
2025-12-09 12:38:26,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,CRITICAL_RISK,CRITICAL,NETWORK: Gateway Connectivity Issue - Check Upstream,MEDIUM (65%),-0.06026090665776429,1,164,131.6,347.2,20.5,0,0,0,0,-87
2025-12-09 13:51:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.09603008243068856,3,200,100.2,342.0,35.7,0,0,-69,26,-95
2025-12-09 14:11:26,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: DPI Overload Causing Network Slowdown (EAGLE),MEDIUM (65%),-0.13238670207557424,3,233,94.2,317.4,34.5,995,0,0,0,-72
2025-12-09 14:21:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.013472639500941463,113,10,31.2,133.1,83.9,0,0,-66,15,-81
2025-12-09 14:29:26,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Denial of Service (DDoS),HIGH (85%),-0.0645151804341828,2,227,85.3,257.3,29.5,0,0,-72,18,-90
2025-12-09 14:44:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.10300499708422173,3,225,109.7,252.9,42.7,0,0,-48,44,-92
2025-12-09 15:06:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.03351815805350922,4,183,88.8,264.7,42.1,0,0,-69,11,-80
2025-12-09 15:45:56,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.04566078211961011,105,14,32.2,155.5,76.7,425,0,0,0,-77
2025-12-09 15:53:26,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.02648693646156297,100,13,44.9,138.3,70.3,339,0,0,0,-72
2025-12-09 16:20:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,HIGH,PHYSICAL: RF Interference Detected (WLAN),MEDIUM (75%),-0.010776020031846079,3,124,75.5,132.0,28.1,0,0,-61,10,-53
2025-12-09 16:33:56,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),MEDIUM (70%),-0.02386441877828316,3,75,65.9,182.8,42.6,443,0,0,0,-57
2025-12-09 17:15:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.009166355366694412,60,14,44.1,146.2,84.2,0,0,-69,10,-75
2025-12-09 17:24:56,EDGE-SW-01,Hirschmann BOBCAT,Switch,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Port Flapping (Hirschmann),HIGH (95%),-0.0024589268301274947,61,11,43.9,90.8,79.4,0,8,0,0,-87
2025-12-09 17:36:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,HIGH,UNKNOWN: Complex Multi-Layer Issue - Requires Manual Inspection,MEDIUM (65%),-0.05313931505141689,2,83,81.0,137.0,44.8,0,0,-75,28,-47
2025-12-09 19:32:26,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,PHYSICAL: Thermal Degradation - Monitor Temperature,MEDIUM (65%),-0.0016350830950585538,82,23,17.0,155.3,65.7,0,0,-59,18,-77
2025-12-09 20:05:26,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,CRITICAL_RISK,CRITICAL,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.015989621034271817,4,146,79.8,213.2,25.9,0,0,-69,16,-85
2025-12-09 20:24:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,HIGH,CONFIG: WLAN Configuration Issue - Good Signal but High Errors,MEDIUM (65%),-0.03091310940818004,1,79,62.1,196.3,35.2,0,0,-68,21,-47
2025-12-09 21:38:26,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.007567086283183921,75,15,35.7,78.2,75.6,0,0,-75,10,-78
2025-12-09 21:50:26,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),MEDIUM (70%),-0.11142883465563824,1,109,103.9,296.1,24.9,1075,0,0,0,-88
2025-12-09 22:03:56,SEC-FW-02,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),MEDIUM (70%),-0.016390809819301633,3,74,61.1,119.9,32.7,323,0,0,0,-48
2025-12-09 22:24:56,CORE-SW-01,Hirschmann BOBCAT 24TX,Switch,Server_Room,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Port Flapping (Hirschmann),HIGH (95%),-0.02636933967089694,107,26,18.8,65.5,80.6,0,7,0,0,-90
2025-12-09 22:45:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.019373923429519935,83,20,32.8,129.5,80.7,0,0,-68,21,-89
2025-12-09 23:24:56,SEC-FW-01,Belden EAGLE40,Firewall,DMZ,CRITICAL_RISK,CRITICAL,SECURITY: Distributed Flood Attack / DDoS (EAGLE),MEDIUM (70%),-0.009656014415621583,4,70,77.8,159.3,22.7,314,0,0,0,-56
2025-12-09 23:27:56,WLAN-AP-02,Belden BAT867,WLAN_AP,Factory_Floor_B,CRITICAL_RISK,CRITICAL,PHYSICAL: Heat-Induced Cable Failure,HIGH (95%),-0.002575879619016619,56,16,24.3,156.5,84.4,0,0,-69,10,-72
2025-12-10 00:06:56,GATEWAY-01,Belden OpEdge-8D,Gateway,Factory_Floor_A,CRITICAL_RISK,CRITICAL,NETWORK: Gateway Connectivity Issue - Check Upstream,MEDIUM (65%),-0.02954192546210188,0,177,82.9,317.0,22.6,0,0,0,0,-82
